hotel_id,distance,rating,number_of_ratings
6,6948.54,4.5,70085.0
6,8079.99,4.7,16361.0
6,7535.62,4.7,43805.0
6,1376.11,4.2,14912.0
6,6756.01,4.5,7759.0
6,7054.12,4.6,19387.0
6,8971.09,2.9,1476.0
6,745.6,4.5,4137.0
6,7198.74,4.5,6419.0
6,1872.33,4.5,8907.0
6,9235.27,4.6,5610.0
6,218.02,4.6,2557.0
6,7303.46,3.6,1604.0
6,4701.87,4.8,6867.0
6,7716.91,4.2,5114.0
6,5498.13,4.1,5291.0
6,6615.6,4.2,5664.0
6,1901.82,3.7,1381.0
6,8998.21,4.1,3335.0
6,8961.96,3.7,14236.0
8,4628.11,4.1,20861.0
8,712.68,3.6,440.0
8,2874.23,4.8,40792.0
8,5097.0,4.5,5717.0
8,1459.47,4.6,21582.0
8,692.13,4.1,850.0
8,2629.51,4.7,1070.0
8,4710.22,4.3,17860.0
8,1351.66,4.4,24554.0
8,2648.99,4.7,3866.0
8,295.39,4.7,35368.0
8,2949.02,4.8,17153.0
8,1654.96,4.5,13631.0
8,5098.96,4.5,9550.0
8,1038.16,4.5,44975.0
8,1741.7,4.7,20952.0
8,3373.87,4.7,9004.0
8,4755.72,4.5,11090.0
8,1143.08,3.7,853.0
8,3870.86,4.2,884.0
9,7306.85,4.7,4684.0
9,9963.99,4.4,5159.0
9,171.88,4.6,2712.0
9,9454.53,4.3,2717.0
9,7706.47,4.5,1826.0
9,7518.71,4.4,773.0
9,7118.19,4.3,2635.0
9,9622.16,4.4,3291.0
9,6971.58,4.3,2481.0
9,8210.03,4.4,3070.0
9,8057.73,4.0,188.0
9,1425.58,4.8,788.0
9,1490.39,4.7,756.0
9,4452.92,4.4,1290.0
9,1369.9,4.6,1219.0
9,1111.83,4.7,917.0
9,462.5,4.7,517.0
9,8835.49,4.2,4559.0
9,8561.71,4.4,1283.0
9,1602.76,4.7,779.0
10,5935.13,4.5,70085.0
10,6898.77,4.7,16361.0
10,7116.54,4.7,43805.0
10,3057.14,4.2,14912.0
10,9164.53,4.5,4794.0
10,9648.63,4.7,13390.0
10,5912.03,4.5,7759.0
10,5969.13,4.6,19387.0
10,8350.25,2.9,1476.0
10,959.01,4.5,4137.0
10,6050.93,4.5,6419.0
10,179.02,4.5,8907.0
10,1910.73,4.6,2557.0
10,6479.73,3.6,1604.0
10,6586.24,4.2,5114.0
10,3050.56,4.8,6867.0
10,4558.37,4.1,5291.0
10,5925.82,4.2,5664.0
10,2734.74,3.7,1381.0
10,7302.89,3.7,14236.0
11,8719.42,4.7,14585.0
11,4028.98,4.7,45755.0
11,8882.75,4.6,25590.0
11,244.33,4.7,31572.0
11,8541.34,4.0,49661.0
11,1742.81,4.5,32833.0
11,8778.71,4.6,19136.0
11,1840.43,4.7,15376.0
11,3039.29,4.4,1709.0
11,3053.16,4.6,1684.0
11,3940.21,4.6,5834.0
11,6247.3,3.9,1294.0
11,9317.15,4.4,9161.0
11,8039.66,3.9,3783.0
11,3716.45,4.8,12251.0
11,9348.58,4.5,778.0
11,3706.93,4.7,18369.0
11,1326.03,4.3,8640.0
11,1919.77,4.7,9935.0
11,5646.88,3.6,1143.0
12,9765.2,4.4,6679.0
12,12.11,4.7,2491.0
12,4593.81,4.3,3400.0
12,9479.17,4.4,4673.0
12,2235.78,4.6,7144.0
12,4688.83,4.6,1962.0
12,5477.53,4.7,1108.0
12,5137.72,4.5,1589.0
12,1051.67,4.6,1541.0
12,4680.14,4.7,2635.0
12,2437.76,4.8,4400.0
12,4039.07,2.5,437.0
12,7081.98,4.5,1054.0
12,6273.14,4.6,1476.0
12,4364.27,4.6,782.0
12,9795.54,4.4,3642.0
12,9085.25,4.6,3625.0
12,9385.6,4.3,802.0
12,7268.34,4.6,1101.0
12,7768.0,4.0,688.0
13,528.21,4.5,5779.0
13,79.7,4.5,1570.0
13,9572.79,4.7,919.0
13,1036.6,4.4,1196.0
13,8545.73,4.4,268.0
13,5928.29,4.5,80.0
13,5926.38,4.3,657.0
13,7202.65,4.7,424.0
13,6627.25,4.3,834.0
13,8900.63,3.3,113.0
13,6850.43,4.7,333.0
13,8266.44,4.6,897.0
13,7613.24,4.7,928.0
13,7760.07,4.6,791.0
13,9296.04,4.1,406.0
13,1063.52,4.5,257.0
13,6870.14,4.8,315.0
13,9337.71,3.5,311.0
13,8950.74,4.1,289.0
13,7511.21,4.4,346.0
14,6727.08,4.6,40294.0
14,9019.77,4.2,14912.0
14,1161.06,4.6,5610.0
14,6948.63,4.3,3353.0
14,8944.37,4.5,6721.0
14,9728.79,3.7,1381.0
14,2254.61,4.8,849.0
14,9233.25,4.5,1524.0
14,8833.15,4.2,5662.0
14,2004.36,4.6,239.0
14,3460.63,4.6,6381.0
14,8240.15,4.1,4400.0
14,4925.38,4.0,1004.0
14,9019.77,3.2,1547.0
14,9664.97,3.9,2618.0
14,7804.58,4.1,107.0
14,2369.3,4.8,1273.0
14,3528.12,3.7,8524.0
14,6099.87,3.7,3232.0
14,1388.95,4.7,17128.0
15,8668.35,4.1,29205.0
15,1140.92,4.7,217247.0
15,2201.69,4.0,5383.0
15,2110.21,4.8,278893.0
15,1905.87,4.8,84037.0
15,763.94,4.7,179342.0
15,6815.82,4.8,78689.0
15,2043.4,4.7,109516.0
15,1332.17,4.7,6907.0
15,1787.64,4.5,21044.0
15,451.71,4.6,52031.0
