id,Hotel Name,Address
1997,Albuquerque Marriott Pyramid North,5151 San Francisco Road NE Albuquerque
1998,Aloft Alpharetta,7895 North Point Parkway Alpharetta
1999,Aloft Atlanta at The Battery Atlanta,950 Battery Avenue Atlanta
2000,Aloft Austin Northwest,14020 US Highway 183 Austin
2001,Aloft Austin Round Rock,2951 Jazz Street Round Rock
2002,Aloft Bolingbrook,500 North Janes Avenue Bolingbrook
2003,Aloft Broomfield Denver,8300 Arista Place Broomfield
2004,Aloft Buffalo Airport,4219 Genesee Street Buffalo
2005,Aloft BWI Baltimore Washington International Airport,1741 West Nursery Road Linthicum
2006,Aloft Chapel Hill,1001 South Hamilton Road Chapel Hill
2007,Aloft Charleston Airport & Convention Center,4875 Tanger Outlet Boulevard North Charleston
2008,Aloft Charlotte Airport,3928 Memorial Parkway Charlotte
2009,Aloft Charlotte Ballantyne,13139 Ballantyne Corporate Place Charlotte
2010,Aloft Chesapeake,1454 Crossways Boulevard Chesapeake
2011,Aloft Chicago O'Hare,9700 Balmoral Avenue Rosemont
2012,Courtyard Raleigh-Durham Airport/Brier Creek,10600 Little Brier Creek Lane Raleigh
2013,Aloft Columbia Harbison,217 Lanneau Court Columbia
2014,Aloft Columbus Westerville,32 Heatherdown Drive Westerville
2015,Aloft Coppell - Grapevine,1155 Northpoint Dr Coppell
2016,Aloft Dallas Love Field,2333 West Mockingbird Lane Dallas
2017,Aloft Denver North Westminster,14780 Delaware Street Westminster
2018,Aloft DFW Airport North,Intersection of Regent Boulevard and Statesman Drive Irving
2019,Aloft Dulles Airport North,22390 Flagstaff Plaza Ashburn
2020,Aloft El Paso Downtown,303 Texas Avenue El Paso
2021,Aloft Frisco,3202 Parkwood Boulevard Frisco
2022,Aloft Hillsboro-Beaverton,1705 Northeast Amberglen Ct. Hillsboro
2023,Aloft Houston by the Galleria,5415 Westheimer Road Houston
2024,Aloft Houston Downtown,820 Fannin Street Houston
2025,Aloft Jacksonville Airport,751 Skymarks Drive Jacksonville
2026,Aloft Jacksonville Tapestry Park,4812 Deer Lake Drive West Jacksonville
2027,Aloft Knoxville West,364 Lovell Road Knoxville
2028,Aloft Las Colinas,122 East John Carpenter Freeway Irving
2029,Aloft Leawood-Overland Park,11620 Ash Street Leawood
2030,Aloft Lubbock,2909 Iola Ave Lubbock
2031,Aloft Miami Dadeland,7600 North Kendall Drive Miami
2032,Aloft Miami Doral,3265 NW 107th Avenue Doral
2033,Aloft Mount Laurel,558 Fellowship Road Mount Laurel
2034,Aloft Nashville Franklin,7109 South Springs Drive Franklin
2035,Aloft Oklahoma City Downtown - Bricktown,209 North Walnut Avenue Oklahoma City
2036,Aloft Omaha Aksarben Village,6201 Center Street Omaha
2037,Aloft Ontario-Rancho Cucamonga,10480 Fourth Street Rancho Cucamonga
2038,Aloft Philadelphia Airport,4301 Island Avenue Philadelphia
2039,Aloft Plano,6853 North Dallas Parkway Plano
2040,Aloft Raleigh-Durham Airport Brier Creek,10020 Sellona Street Raleigh
2041,Aloft Reno-Tahoe International Airport,2015 Terminal Way Reno
2042,Aloft Richardson,1160 State Street Richardson
2043,Aloft Richmond West Short Pump,3939 Duckling Drive Glen Allen
2044,Aloft Rogers-Bentonville,1103 South 52nd Street Rogers
2045,Fairfield Inn & Suites Phoenix Chandler/Fashion Center,1100 South Price Road Chandler
2046,Courtyard Abilene Southwest/Abilene Mall South,4350 Ridgemont Drive Abilene
2047,Courtyard Akron Downtown,41 Furnace Street Akron
2048,Courtyard Akron Stow,4047 Bridgewater Parkway Stow
2049,Courtyard Albany,3019 Kensington Court Albany
2050,Courtyard Albany Thruway,1455 Washington Avenue Albany
2051,Courtyard Albany Troy/Waterfront,515 River Street Troy
2052,Courtyard Albion,200 South Superior Street Albion
2053,Courtyard Albuquerque,5151 Journal Center Boulevard Albuquerque
2054,Courtyard Albuquerque Airport,1920 Yale Boulevard S.E. Albuquerque
2055,Courtyard Alexandria Old Town/Southwest,2700 Eisenhower Avenue Alexandria
2056,Courtyard Alexandria Pentagon South,4641 Kenmore Avenue Alexandria
2057,Courtyard Allentown Bethlehem/Lehigh Valley Airport,2160 Motel Drive Bethlehem
2058,Courtyard Altoona,2 Convention Center Drive Altoona
2059,Courtyard Amarillo Downtown,724 South Polk Street Amarillo
2060,Courtyard Amarillo West/Medical Center,8006 I-40 West Amarillo
2061,Courtyard Ames,311 South 17th Street Ames
2062,Courtyard Atlanta Airport South/Sullivan Road,2050 Sullivan Road College Park
2063,Courtyard Atlanta Airport West,3400 Creek Pointe Drive East Point
2064,Courtyard Atlanta Alpharetta,12655 Deerfield Parkway Alpharetta
2065,Courtyard Atlanta Alpharetta/Avalon Area,11700 Amber Park Drive Alpharetta
2066,Courtyard Atlanta Buford Mall of Georgia,1405 Mall of Georgia Boulevard Buford
2067,Courtyard Atlanta Conyers,1337 Old Covington Highway Conyers
2068,Courtyard Atlanta Cumberland/Galleria,3000 Cumberland Blvd Atlanta
2069,Courtyard Atlanta Duluth Downtown,3141 Hill Street NW Duluth
2070,Courtyard Atlanta Executive Park/Emory,1236 Executive Park Drive Atlanta
2071,Courtyard Atlanta Marietta/I-75 North,2455 Delk Road SE Marietta
2072,Courtyard Atlanta McDonough,115 Mill Road McDonough
2073,Courtyard Atlanta Perimeter Center,6250 Peachtree-Dunwoody Rd Atlanta
2074,Courtyard Atlanta Suwanee,310 Celebration Dr Suwanee
2075,Courtyard Atlanta Vinings/Galleria,2829 Overlook Parkway Atlanta
2076,Courtyard Atlanta Windy Hill/Ballpark,2045 S Park Place Atlanta
2077,Courtyard Austin North/Parmer Lane,12330 North IH-35 Austin
2078,Courtyard Austin Pflugerville and Pflugerville Conference Center,16100 Impact Way Pflugerville
2079,Courtyard Austin Round Rock,2700 Hoppe Trail Round Rock
2080,Courtyard Austin The Domain Area,9409 Stonelake Boulevard Austin
